"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14, 2021","93,084.82","91,747.84","93,206.84","90,696.77","0.03K","1.46%"
"Nov 13, 2021","91,747.84","91,451.97","92,433.26","90,108.14","0.05K","0.32%"
"Nov 12, 2021","91,451.97","92,507.02","93,780.08","88,775.86","0.10K","-1.14%"
"Nov 11, 2021","92,507.02","92,015.84","93,616.60","90,991.17","0.20K","0.53%"
"Nov 10, 2021","92,015.84","93,864.90","97,397.83","89,289.16","0.22K","-1.97%"
"Nov 09, 2021","93,864.90","94,390.16","95,997.89","92,524.73","0.14K","-0.56%"
"Nov 08, 2021","94,390.16","88,808.00","94,486.73","86,510.93","0.18K","6.29%"
"Nov 07, 2021","88,808.00","86,846.24","89,031.43","86,446.35","0.04K","2.26%"
"Nov 06, 2021","86,846.24","86,006.77","87,041.28","84,716.82","0.03K","0.98%"
"Nov 05, 2021","86,006.77","86,530.33","88,499.99","85,420.42","0.25K","-0.61%"
"Nov 04, 2021","86,530.33","87,951.14","88,296.76","85,610.42","0.06K","-1.62%"
"Nov 03, 2021","87,951.14","88,655.08","89,601.37","85,006.65","0.12K","-0.79%"
"Nov 02, 2021","88,655.08","85,086.01","90,537.40","84,657.15","0.08K","4.19%"
"Nov 01, 2021","85,086.01","85,878.99","87,192.26","83,181.02","0.11K","-0.92%"
"Oct 31, 2021","85,878.99","86,573.83","87,281.50","83,992.33","0.04K","-0.80%"
"Oct 30, 2021","86,573.83","86,961.63","87,225.40","84,957.35","0.04K","-0.45%"
"Oct 29, 2021","86,961.63","84,387.98","88,247.41","83,725.42","0.08K","3.05%"
"Oct 28, 2021","84,387.98","82,044.38","86,940.61","80,856.41","0.14K","2.86%"
"Oct 27, 2021","82,044.38","84,287.02","86,136.71","81,045.98","0.17K","-2.66%"
"Oct 26, 2021","84,287.02","88,095.43","88,439.97","83,781.19","0.09K","-4.32%"
"Oct 25, 2021","88,095.43","85,282.57","88,847.75","84,932.16","0.04K","3.30%"
"Oct 24, 2021","85,282.57","85,817.52","86,150.36","83,175.59","0.06K","-0.62%"
"Oct 23, 2021","85,817.52","84,902.39","86,480.96","83,561.85","0.05K","1.08%"
"Oct 22, 2021","84,902.39","87,283.86","89,436.33","84,241.06","0.09K","-2.73%"
"Oct 21, 2021","87,283.86","91,729.09","93,013.97","86,883.27","0.12K","-4.85%"
"Oct 20, 2021","91,729.09","89,849.79","92,940.07","88,505.08","0.14K","2.09%"
"Oct 19, 2021","89,849.79","87,580.64","90,126.83","85,743.12","0.10K","2.59%"
"Oct 18, 2021","87,580.64","86,728.19","88,843.93","85,187.25","0.15K","0.98%"
"Oct 17, 2021","86,728.19","86,158.69","87,194.41","83,648.88","0.07K","0.66%"
"Oct 16, 2021","86,158.69","87,144.07","88,520.07","85,255.21","0.07K","-1.13%"
"Oct 15, 2021","87,144.07","81,607.34","88,440.50","80,832.83","0.16K","6.78%"
"Oct 14, 2021","81,607.34","82,184.73","84,028.05","80,902.45","0.09K","-0.70%"
"Oct 13, 2021","82,184.73","81,070.29","83,143.55","78,299.19","0.07K","1.37%"
